Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Trevor Siemian (15904861),Trevor Siemian,15904861,QB,4000,NO@PHI 12/13/2020 04:25PM ET,NO,0
RB,Corey Clement (15904993),Corey Clement,15904993,RB/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,2.4
RB,Jason Huntley (15904995),Jason Huntley,15904995,RB/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,0.47
RB,Jordan Howard (15904997),Jordan Howard,15904997,RB/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,4.98
RB,Dwayne Washington (15904999),Dwayne Washington,15904999,RB/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,NO,0.3
RB,Ty Montgomery (15905001),Ty Montgomery,15905001,RB/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,NO,2.05
RB,Michael Burton (15905003),Michael Burton,15905003,RB/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,NO,1.08
TE,Dallas Goedert (15905521),Dallas Goedert,15905521,TE/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,12.05
QB,Easton Stick (15904859),Easton Stick,15904859,QB,4000,ATL@LAC 12/13/2020 04:25PM ET,LAC,-0.04
RB,Kalen Ballage (15904979),Kalen Ballage,15904979,RB/FLEX,4000,ATL@LAC 12/13/2020 04:25PM ET,LAC,9.94
RB,Joshua Kelley (15904981),Joshua Kelley,15904981,RB/FLEX,4000,ATL@LAC 12/13/2020 04:25PM ET,LAC,6.87
RB,Troymaine Pope (15904983),Troymaine Pope,15904983,RB/FLEX,4000,ATL@LAC 12/13/2020 04:25PM ET,LAC,4.95
RB,Justin Jackson (15904985),Justin Jackson,15904985,RB/FLEX,4000,ATL@LAC 12/13/2020 04:25PM ET,LAC,9.32
RB,Gabe Nabers (15904987),Gabe Nabers,15904987,RB/FLEX,4000,ATL@LAC 12/13/2020 04:25PM ET,LAC,2.3
RB,Qadree Ollison (15904989),Qadree Ollison,15904989,RB/FLEX,4000,ATL@LAC 12/13/2020 04:25PM ET,ATL,0.3
RB,Keith Smith (15904991),Keith Smith,15904991,RB/FLEX,4000,ATL@LAC 12/13/2020 04:25PM ET,ATL,0.63
WR,Marquez Valdes-Scantling (15905243),Marquez Valdes-Scantling,15905243,WR/FLEX,3900,GB@DET 12/13/2020 04:25PM ET,GB,9.43
TE,Jonnu Smith (15905523),Jonnu Smith,15905523,TE/FLEX,3900,TEN@JAX 12/13/2020 01:00PM ET,TEN,11.19
WR,Anthony Miller (15905247),Anthony Miller,15905247,WR/FLEX,3900,HOU@CHI 12/13/2020 01:00PM ET,CHI,8.12
WR,Chad Hansen (15905249),Chad Hansen,15905249,WR/FLEX,3900,HOU@CHI 12/13/2020 01:00PM ET,HOU,18.1
WR,Breshad Perriman (15905245),Breshad Perriman,15905245,WR/FLEX,3900,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,10.18
WR,Preston Williams (15905251),Preston Williams,15905251,WR/FLEX,3800,KC@MIA 12/13/2020 01:00PM ET,MIA,9.72
WR,Demarcus Robinson (15905253),Demarcus Robinson,15905253,WR/FLEX,3800,KC@MIA 12/13/2020 01:00PM ET,KC,7.17
WR,Michael Gallup (15905255),Michael Gallup,15905255,WR/FLEX,3800,DAL@CIN 12/13/2020 01:00PM ET,DAL,9.07
TE,Jared Cook (15905525),Jared Cook,15905525,TE/FLEX,3800,NO@PHI 12/13/2020 04:25PM ET,NO,7.76
DST,Saints  (15905733),Saints ,15905733,DST,3800,NO@PHI 12/13/2020 04:25PM ET,NO,8.25
WR,Keelan Cole Sr. (15905259),Keelan Cole Sr.,15905259,WR/FLEX,3700,TEN@JAX 12/13/2020 01:00PM ET,JAX,10.3
WR,Kendrick Bourne (15905257),Kendrick Bourne,15905257,WR/FLEX,3700,WAS@SF 12/13/2020 04:25PM ET,SF,7.88
TE,Zach Ertz (15905529),Zach Ertz,15905529,TE/FLEX,3700,NO@PHI 12/13/2020 04:25PM ET,PHI,7.84
TE,Hayden Hurst (15905527),Hayden Hurst,15905527,TE/FLEX,3700,ATL@LAC 12/13/2020 04:25PM ET,ATL,8.9
WR,Collin Johnson (15905263),Collin Johnson,15905263,WR/FLEX,3600,TEN@JAX 12/13/2020 01:00PM ET,JAX,5.79
TE,Anthony Firkser (15905533),Anthony Firkser,15905533,TE/FLEX,3600,TEN@JAX 12/13/2020 01:00PM ET,TEN,6.94
WR,Cordarrelle Patterson (15905261),Cordarrelle Patterson,15905261,WR/FLEX,3600,HOU@CHI 12/13/2020 01:00PM ET,CHI,5.28
WR,Golden Tate (15905265),Golden Tate,15905265,WR/FLEX,3600,ARI@NYG 12/13/2020 01:00PM ET,NYG,7.83
TE,Dan Arnold (15905531),Dan Arnold,15905531,TE/FLEX,3600,ARI@NYG 12/13/2020 01:00PM ET,ARI,5.55
WR,Darnell Mooney (15905269),Darnell Mooney,15905269,WR/FLEX,3500,HOU@CHI 12/13/2020 01:00PM ET,CHI,8.04
WR,Larry Fitzgerald (15905267),Larry Fitzgerald,15905267,WR/FLEX,3500,ARI@NYG 12/13/2020 01:00PM ET,ARI,7.66
DST,Chiefs  (15905734),Chiefs ,15905734,DST,3500,KC@MIA 12/13/2020 01:00PM ET,KC,7.17
TE,Dalton Schultz (15905535),Dalton Schultz,15905535,TE/FLEX,3500,DAL@CIN 12/13/2020 01:00PM ET,DAL,9.47
WR,Dontrelle Inman (15905271),Dontrelle Inman,15905271,WR/FLEX,3500,WAS@SF 12/13/2020 04:25PM ET,WAS,6.61
TE,Jordan Reed (15905537),Jordan Reed,15905537,TE/FLEX,3500,WAS@SF 12/13/2020 04:25PM ET,SF,8.57
WR,Jakeem Grant (15905273),Jakeem Grant,15905273,WR/FLEX,3400,KC@MIA 12/13/2020 01:00PM ET,MIA,5.98
WR,David Moore (15905275),David Moore,15905275,WR/FLEX,3400,NYJ@SEA 12/13/2020 04:05PM ET,SEA,8.03
WR,Richie James (15905277),Richie James,15905277,WR/FLEX,3400,WAS@SF 12/13/2020 04:25PM ET,SF,7.48
DST,Packers  (15905735),Packers ,15905735,DST,3300,GB@DET 12/13/2020 04:25PM ET,GB,5.92
WR,Adam Humphries (15905281),Adam Humphries,15905281,WR/FLEX,3300,TEN@JAX 12/13/2020 01:00PM ET,TEN,8.26
WR,Cedrick Wilson (15905287),Cedrick Wilson,15905287,WR/FLEX,3300,DAL@CIN 12/13/2020 01:00PM ET,DAL,5.28
WR,Zach Pascal (15905279),Zach Pascal,15905279,WR/FLEX,3300,IND@LV 12/13/2020 04:05PM ET,IND,7.23
WR,Steven Sims Jr. (15905283),Steven Sims Jr.,15905283,WR/FLEX,3300,WAS@SF 12/13/2020 04:25PM ET,WAS,5.51
TE,Logan Thomas (15905539),Logan Thomas,15905539,TE/FLEX,3300,WAS@SF 12/13/2020 04:25PM ET,WAS,9.77
WR,Tre'Quan Smith (15905285),Tre'Quan Smith,15905285,WR/FLEX,3300,NO@PHI 12/13/2020 04:25PM ET,NO,8.24
WR,Quintez Cephus (15905289),Quintez Cephus,15905289,WR/FLEX,3200,GB@DET 12/13/2020 04:25PM ET,DET,5.46
WR,Olabisi Johnson (15905295),Olabisi Johnson,15905295,WR/FLEX,3200,MIN@TB 12/13/2020 01:00PM ET,MIN,4.08
WR,Mecole Hardman (15905293),Mecole Hardman,15905293,WR/FLEX,3200,KC@MIA 12/13/2020 01:00PM ET,KC,8.04
DST,Colts  (15905736),Colts ,15905736,DST,3200,IND@LV 12/13/2020 04:05PM ET,IND,9.5
WR,Jalen Guyton (15905291),Jalen Guyton,15905291,WR/FLEX,3200,ATL@LAC 12/13/2020 04:25PM ET,LAC,6.21
TE,Tyler Eifert (15905541),Tyler Eifert,15905541,TE/FLEX,3100,TEN@JAX 12/13/2020 01:00PM ET,JAX,5.9
DST,Titans  (15905737),Titans ,15905737,DST,3100,TEN@JAX 12/13/2020 01:00PM ET,TEN,4.25
TE,Irv Smith Jr. (15905545),Irv Smith Jr.,15905545,TE/FLEX,3100,MIN@TB 12/13/2020 01:00PM ET,MIN,5.24
TE,Jacob Hollister (15905543),Jacob Hollister,15905543,TE/FLEX,3100,NYJ@SEA 12/13/2020 04:05PM ET,SEA,4.19
TE,Trey Burton (15905547),Trey Burton,15905547,TE/FLEX,3100,IND@LV 12/13/2020 04:05PM ET,IND,8.52
WR,Cam Sims (15905299),Cam Sims,15905299,WR/FLEX,3100,WAS@SF 12/13/2020 04:25PM ET,WAS,6.07
